Model,Features,NonBooleanFeatures,Attributes,Variables,Constraints,Solver,Operation,Tactics,Runs,Result,MeanTime(s),MedianTime(s),StdDevTime(s)
Pizza_z3_original,15,2,10,27,7,Z3,Z3Satisfiable,simplify+propagate-values+smt,10,True,0.0017,0.0017,0.0002
Pizza_z3_original,15,2,10,27,7,Z3,Z3CoreFeatures,simplify+propagate-values+smt,10,6,0.0147,0.0145,0.001
Pizza_z3_original,15,2,10,27,7,Z3,Z3DeadFeatures,simplify+propagate-values+smt,10,2,0.0196,0.0196,0.0008
Pizza_z3_original,15,2,10,27,7,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+smt,10,2,0.0139,0.013,0.0027
Pizza_z3_extended50,50,5,48,103,22,Z3,Z3Satisfiable,simplify+propagate-values+smt,10,True,0.0051,0.0052,0.001
Pizza_z3_extended50,50,5,48,103,22,Z3,Z3CoreFeatures,simplify+propagate-values+smt,10,9,0.2281,0.2258,0.015
Pizza_z3_extended50,50,5,48,103,22,Z3,Z3DeadFeatures,simplify+propagate-values+smt,10,5,0.2378,0.2376,0.0082
Pizza_z3_extended50,50,5,48,103,22,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+smt,10,3,0.2293,0.2235,0.0152
Pizza_z3_extended100,100,10,107,217,53,Z3,Z3Satisfiable,simplify+propagate-values+smt,10,True,0.0207,0.0208,0.0015
Pizza_z3_extended100,100,10,107,217,53,Z3,Z3CoreFeatures,simplify+propagate-values+smt,10,13,1.9725,2.006,0.0979
Pizza_z3_extended100,100,10,107,217,53,Z3,Z3DeadFeatures,simplify+propagate-values+smt,10,14,2.2063,2.2079,0.064
Pizza_z3_extended100,100,10,107,217,53,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+smt,10,4,2.1181,2.0791,0.0941
Pizza_z3_extended100b,100,2,121,223,28,Z3,Z3Satisfiable,simplify+propagate-values+smt,10,True,0.0364,0.038,0.003
Pizza_z3_extended100b,100,2,121,223,28,Z3,Z3CoreFeatures,simplify+propagate-values+smt,10,9,3.0882,3.0603,0.1482
Pizza_z3_extended100b,100,2,121,223,28,Z3,Z3DeadFeatures,simplify+propagate-values+smt,10,2,3.4952,3.4831,0.2176
Pizza_z3_extended100b,100,2,121,223,28,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+smt,10,1,3.6419,3.7348,0.2183
Pizza_z3_extended200,139,2,196,337,35,Z3,Z3Satisfiable,simplify+propagate-values+smt,10,True,0.0791,0.0774,0.0053
Pizza_z3_extended200,139,2,196,337,35,Z3,Z3CoreFeatures,simplify+propagate-values+smt,10,9,8.0103,7.4037,1.1459
Pizza_z3_extended200,139,2,196,337,35,Z3,Z3DeadFeatures,simplify+propagate-values+smt,10,3,7.1851,7.1847,0.1346
Pizza_z3_extended200,139,2,196,337,35,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+smt,10,1,6.9216,6.9266,0.0859
Pizza_z3_extended200b,177,20,208,405,71,Z3,Z3Satisfiable,simplify+propagate-values+smt,10,True,0.0495,0.0498,0.0038
Pizza_z3_extended200b,177,20,208,405,71,Z3,Z3CoreFeatures,simplify+propagate-values+smt,10,13,7.2357,7.2464,0.138
Pizza_z3_extended200b,177,20,208,405,71,Z3,Z3DeadFeatures,simplify+propagate-values+smt,10,19,7.1375,7.178,0.1136
Pizza_z3_extended200b,177,20,208,405,71,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+smt,10,4,7.408,7.45,0.0956
Pizza_z3_extended500,347,65,110,522,75,Z3,Z3Satisfiable,simplify+propagate-values+smt,10,True,0.0134,0.0142,0.0045
Pizza_z3_extended500,347,65,110,522,75,Z3,Z3CoreFeatures,simplify+propagate-values+smt,10,12,2.7694,2.6764,0.1628
Pizza_z3_extended500,347,65,110,522,75,Z3,Z3DeadFeatures,simplify+propagate-values+smt,10,5,3.8607,3.8741,0.0744
Pizza_z3_extended500,347,65,110,522,75,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+smt,10,2,3.2,3.204,0.0462
Pizza_z3_extended500b,357,84,395,836,165,Z3,Z3Satisfiable,simplify+propagate-values+smt,10,True,0.135,0.1355,0.005
Pizza_z3_extended500b,357,84,395,836,165,Z3,Z3CoreFeatures,simplify+propagate-values+smt,10,58,51.7293,51.6365,0.8072
Pizza_z3_extended500b,357,84,395,836,165,Z3,Z3DeadFeatures,simplify+propagate-values+smt,10,3,61.9617,61.8707,1.0497
Pizza_z3_extended500b,357,84,395,836,165,Z3,Z3FalseOptionalFeatures,simplify+propagate-values+smt,10,48,50.4392,50.4628,0.5704
